"tank_id","treatment","fish_id","initial_fish_count","final_fish_count","weight_initial_g","weight_final_g","feed_intake_tank_g","length_final_cm","liver_weight_g","viscera_weight_g","fat_weight_g","protein_content_pct","weight_gain_g","weight_gain_pct","sgr","condition_factor","hsi","vsi","pfr"
"T1","Control",1,15,15,9.97,32.71,429.615,16.5,0.65,1.96,0.49,0.45,22.74,228.084252758275,1.98016709596091,0.728163174444166,1.98715988994191,5.99205136044023,1.49801284011006
"T1","Control",2,15,15,9.97,30.01,429.615,16,0.6,1.8,0.45,0.45,20.04,201.003009027081,1.83658345913088,0.732666015625,1.99933355548151,5.99800066644452,1.49950016661113
"T1","Control",3,15,15,8.48,26.47,429.615,15.3,0.53,1.59,0.4,0.45,17.99,212.146226415094,1.897169277392,0.739059916902526,2.00226671703816,6.00680015111447,1.51114469210427
"T1","Control",4,15,15,10.79,26.05,429.615,15.2,0.52,1.56,0.39,0.45,15.26,141.427247451344,1.46899664821555,0.741783149876075,1.99616122840691,5.98848368522073,1.49712092130518
"T1","Control",5,15,15,9.79,28.22,429.615,15.6,0.56,1.69,0.42,0.45,18.43,188.253319713994,1.76444914980375,0.743332659013133,1.98440822111977,5.98866052445074,1.48830616583983
"T1","Control",6,15,15,9.34,32.39,429.615,16.5,0.65,1.94,0.49,0.45,23.05,246.788008565311,2.07257246823748,0.721039597072655,2.00679221982093,5.98950293300401,1.5128125964804
"T1","Control",7,15,15,8.59,24.13,429.615,14.8,0.48,1.45,0.36,0.45,15.54,180.908032596042,1.72142857273463,0.744341401299034,1.98922503108164,6.00911728139246,1.49191877331123
"T1","Control",8,15,15,9.7,24.34,429.615,14.9,0.49,1.46,0.37,0.45,14.64,150.927835051546,1.53332533675007,0.735803363352942,2.01314708299096,5.99835661462613,1.52013147082991
"T1","Control",9,15,15,9.15,28.04,429.615,15.6,0.56,1.68,0.42,0.45,18.89,206.448087431694,1.8664636381316,0.738591345100221,1.99714693295292,5.99144079885877,1.49786019971469
"T1","Control",10,15,15,9.6,31.18,429.615,16.2,0.62,1.87,0.47,0.45,21.58,224.791666666667,1.96335627525973,0.733383385926189,1.98845413726748,5.99743425272611,1.50737652341244
"T1","Control",11,15,15,8.78,27.26,429.615,15.5,0.55,1.64,0.41,0.45,18.48,210.478359908884,1.8882400310356,0.732033164378504,2.01760821716801,6.01614086573734,1.50403521643434
"T1","Control",12,15,15,11.69,32.66,429.615,16.5,0.65,1.96,0.49,0.45,20.97,179.384088964927,1.7123621867639,0.727050115479867,1.99020208205756,6.00122473974281,1.5003061849357
"T1","Control",13,15,15,9.98,31,429.615,16.2,0.62,1.86,0.46,0.45,21.02,210.62124248497,1.88900685693629,0.729149613974082,2,6,1.48387096774194
"T1","Control",14,15,15,11.07,29.49,429.615,15.9,0.59,1.77,0.44,0.45,18.42,166.39566395664,1.63302079351106,0.733640671307336,2.00067819599864,6.00203458799593,1.49203119701594
"T1","Control",15,15,15,7.4,32.46,429.615,16.5,0.65,1.95,0.49,0.45,25.06,338.648648648649,2.46421426979387,0.722597879622673,2.00246457178065,6.00739371534196,1.50955021565003
"T10","Diet_C",136,15,15,10.62,49.34,816.39,19.9,0.99,2.96,0.74,0.45,38.72,364.595103578155,2.5599934921457,0.626094539260277,2.0064856100527,5.99918929874341,1.49979732468585
"T10","Diet_C",137,15,15,9.9,39.22,816.39,17.8,0.78,2.35,0.59,0.45,29.32,296.161616161616,2.29442010604609,0.695420649702327,1.98878123406425,5.99184089750127,1.50433452320245
"T10","Diet_C",138,15,15,9.92,46.24,816.39,19.2,0.92,2.77,0.69,0.45,36.32,366.129032258065,2.5654871717789,0.653302228009259,1.98961937716263,5.99048442906574,1.49221453287197
"T10","Diet_C",139,15,15,11.02,49.78,816.39,20,1,2.99,0.75,0.45,38.76,351.724137931035,2.5131691553578,0.62225,2.00883889112093,6.00642828445159,1.5066291683407
"T10","Diet_C",140,15,15,10.71,43.76,816.39,18.8,0.88,2.63,0.66,0.45,33.05,308.59010270775,2.34590378942345,0.658572763260549,2.0109689213894,6.01005484460695,1.50822669104205
"T10","Diet_C",141,15,15,10.99,44.36,816.39,18.9,0.89,2.66,0.67,0.45,33.37,303.639672429481,2.32558732344439,0.657061657593558,2.00631199278629,5.99639314697926,1.51036970243463
"T10","Diet_C",142,15,15,12.38,44.89,816.39,19,0.9,2.69,0.67,0.45,32.51,262.600969305331,2.14688797589565,0.654468581425864,2.00490086879038,5.99242593005124,1.49253731343284
"T10","Diet_C",143,15,15,10.66,46.1,816.39,19.2,0.92,2.77,0.69,0.45,35.44,332.457786116323,2.44052421877484,0.651324236834491,1.99566160520607,6.00867678958785,1.49674620390456
"T10","Diet_C",144,15,15,10.21,47,816.39,19.4,0.94,2.82,0.7,0.45,36.79,360.333006856023,2.54463328255581,0.643713575398856,2,6,1.48936170212766
"T10","Diet_C",145,15,15,7.79,48.95,816.39,19.8,0.98,2.94,0.73,0.45,41.16,528.369704749679,3.0632641818231,0.630604586833543,2.00204290091931,6.00612870275792,1.49131767109295
"T10","Diet_C",146,15,15,12.69,44.71,816.39,18.9,0.89,2.68,0.67,0.45,32.02,252.324665090623,2.09897151419932,0.662245868147159,1.99060612838291,5.9941847461418,1.49854618653545
"T10","Diet_C",147,15,15,9.52,45.59,816.39,19.1,0.91,2.74,0.68,0.45,36.07,378.886554621849,2.61048924237013,0.654288806437432,1.9960517657381,6.01008993200263,1.49155516560649
"T10","Diet_C",148,15,15,12.37,52.46,816.39,20.5,1.05,3.15,0.79,0.45,40.09,324.090541632983,2.40796131339055,0.608929063710625,2.00152497140679,6.00457491422036,1.5059092642013
"T10","Diet_C",149,15,15,10.37,46.29,816.39,19.3,0.93,2.78,0.69,0.45,35.92,346.383799421408,2.49334822133624,0.643895298089861,2.00907323395982,6.00561676387989,1.49060272197019
"T10","Diet_C",150,15,15,11.54,45.57,816.39,19.1,0.91,2.73,0.68,0.45,34.03,294.887348353553,2.28905057365973,0.654001774717127,1.99692780337942,5.99078341013825,1.49220978714066
"T11","Diet_C",151,15,15,9.89,40.97,766.83,18.2,0.82,2.46,0.61,0.45,31.08,314.256825075834,2.3688599098736,0.679597542899077,2.00146448620942,6.00439345862826,1.48889431291189
"T11","Diet_C",152,15,15,10.51,45.01,766.83,19,0.9,2.7,0.68,0.45,34.5,328.25880114177,2.42426250402664,0.656218107595859,1.99955565429904,5.99866696289713,1.51077538324817
